    SID    PGID     PID USER     TT       %MEM CMD
   3375    3375   16230 dayan    ?         1.4 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=252 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=7579348621 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   17334 dayan    ?         0.7 /usr/share/code/code --type=renderer --crashpad-handler-pid=13655 --enable-crash-reporter=9342ff24-78eb-45f1-b2a9-7b52364397fb,no_channel --user-data-dir=/home/dayan/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration, --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=14 --time-ticks-at-unix-epoch=-1729788020694200 --launch-time-ticks=8502887881 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,14871982867311055587,5758918865634422792,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version --vscode-window-config=vscode:a7da34e3-9f0a-41c9-9ff1-1a41be0f5768
   3375    3375   18763 dayan    ?         1.7 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=293 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=9284863191 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   18796 dayan    ?         0.7 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=295 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=9290908301 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   18819 dayan    ?         0.7 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=296 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=9292373047 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   19392 dayan    ?         1.0 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=314 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=9681050796 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   19452 dayan    ?         1.2 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=316 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=9766363728 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   19982 dayan    ?         1.2 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=332 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=10415256012 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   20024 dayan    ?         0.2 /opt/google/chrome/chrome --type=utility --utility-sub-type=data_decoder.mojom.DataDecoderService --lang=es --service-sandbox-type=service --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   20238 dayan    ?         0.4 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=341 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=10564213601 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   20442 dayan    ?         1.4 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --extension-process --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=342 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=10685007115 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
  13828   20524   20524 dayan    pts/0     0.0 /bin/bash ./infosession.sh
  13828   20524   20526 dayan    pts/0     0.0 ps ax -o sid,pgid,pid,user,tty,%mem,cmd --sort=user
  13828   20524   20527 dayan    pts/0     0.0 awk $1 != 0
   1115    1115    1115 gnome-r+ ?         0.1 /usr/libexec/gnome-remote-desktop-daemon --system
   2965    2965    2965 kernoops ?         0.0 /usr/sbin/kerneloops --test
   2968    2968    2968 kernoops ?         0.0 /usr/sbin/kerneloops
   2270    2270    2271 libvirt+ ?         0.0 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
   1111    1111    1111 message+ ?         0.0 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1343    1343    1343 nvidia-+ ?         0.0 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
   1137    1137    1137 polkitd  ?         0.0 /usr/lib/polkit-1/polkitd --no-debug
      1       1       1 root     ?         0.0 /sbin/init splash
    421     421     421 root     ?         0.1 /usr/lib/systemd/systemd-journald
    477     477     477 root     ?         0.0 /usr/lib/systemd/systemd-udevd
   1082    1082    1082 root     ?         0.0 /usr/libexec/accounts-daemon
   1108    1108    1108 root     ?         0.0 /usr/libexec/bluetooth/bluetoothd
   1110    1110    1110 root     ?         0.0 /usr/sbin/cron -f -P
   1134    1134    1134 root     ?         0.1 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
   1138    1138    1138 root     ?         0.0 /usr/libexec/power-profiles-daemon
   1143    1143    1143 root     ?         0.2 /usr/lib/snapd/snapd
   1145    1145    1145 root     ?         0.0 /usr/libexec/switcheroo-control
   1146    1146    1146 root     ?         0.0 /usr/lib/systemd/systemd-logind
   1147    1147    1147 root     ?         0.0 /usr/lib/systemd/systemd-machined
   1148    1148    1148 root     ?         0.0 /usr/sbin/thermald --systemd --dbus-enable --adaptive
   1149    1149    1149 root     ?         0.0 /usr/libexec/udisks2/udisksd
   1151    1151    1151 root     ?         0.0 /usr/sbin/virtlockd
   1152    1152    1152 root     ?         0.0 /usr/sbin/virtlogd
   1245    1245    1245 root     ?         0.1 /usr/sbin/NetworkManager --no-daemon
   1247    1247    1247 root     ?         0.0 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   1313    1313    1313 root     ?         0.0 /usr/sbin/ModemManager
   2119    2119    2119 root     ?         0.0 /usr/sbin/cupsd -l
   2128    2128    2128 root     ?         0.1 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   2170    2170    2170 root     ?         0.0 /usr/sbin/gdm3
   2270    2270    2272 root     ?         0.0 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
   2667    2667    2667 root     ?         0.0 /usr/libexec/upowerd
   2170    2170    2982 root     ?         0.0 gdm-session-worker [pam/gdm-password]
   3087    3087    3087 root     ?         0.0 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   8928    8928    8928 root     ?         0.2 /usr/libexec/fwupd/fwupd
   2318    2318    2318 rtkit    ?         0.0 /usr/libexec/rtkit-daemon
   1195    1195    1195 syslog   ?         0.0 /usr/sbin/rsyslogd -n -iNONE
    987     987     987 systemd+ ?         0.0 /usr/lib/systemd/systemd-oomd
    991     991     991 systemd+ ?         0.0 /usr/lib/systemd/systemd-resolved
    992     992     992 systemd+ ?         0.0 /usr/lib/systemd/systemd-timesyncd
